Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano,1,Arduino_Nano_Every,
C1,CP_Radial_D6.3mm_P2.50mm,1,100uF,
"C10, C11, C12, C13, C14, C15, C16, C7, C8, C9",C_Disc_D3.0mm_W1.6mm_P2.50mm,10,100nF,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Mode Button,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Up Button,
J4,PinHeader_1x02_P2.54mm_Vertical,1,Down Button,
J5,PinHeader_1x02_P2.54mm_Vertical,1,Select Button,
"U1, U10, U13, U16, U4, U7",DIP-16_W7.62mm,6,74HC595,
"U11, U14, U17, U2, U5, U8",DIP254P762X533-18,6,UDN2981A,UDN2981A
U12,IV-11 VFD Tube,1,Minute Right,
U15,IV-11 VFD Tube,1,Second Left,
U18,IV-11 VFD Tube,1,Second Right,
U19,XL6009 Module,1,XL6009 Module,
U20,LM2596 Module,1,LM2596 Module,
U21,DS3231 Module,1,DS3231 Module,
U3,IV-11 VFD Tube,1,Hour Left,
U6,IV-11 VFD Tube,1,Hour Right,
U9,IV-11 VFD Tube,1,Minute Left,
