Designator,Mid X,Mid Y,Rotation,Layer
A1,76.88,-118.22,0.0,bottom
C1,77.25,-92.0,180.0,bottom
C10,88.5,-118.75,90.0,bottom
C11,212.5,-118.7477,90.0,bottom
C12,239.5,-118.7477,90.0,bottom
C13,232.25,-140.0,180.0,bottom
C14,246.25,-140.0,180.0,bottom
C15,260.25,-140.0,180.0,bottom
C16,274.25,-139.5,180.0,bottom
C7,177.5,-118.7477,90.0,bottom
C8,150.5,-118.781,90.0,bottom
C9,115.5,-118.7477,90.0,bottom
J2,232.23,-143.0,90.0,bottom
J3,246.23,-143.0,90.0,bottom
J4,260.23,-143.0,90.0,bottom
J5,274.23,-143.0,90.0,bottom
U1,100.39,-118.81,270.0,bottom
U10,189.39,-118.81,270.0,bottom
U11,189.34,-80.19,270.0,bottom
U12,189.0,-100.0,0.0,top
U13,224.39,-118.81,270.0,bottom
U14,223.34,-80.19,270.0,bottom
U15,224.0,-100.0,0.0,top
U16,251.61,-118.81,270.0,bottom
U17,251.34,-80.19,270.0,bottom
U18,251.0,-100.0,0.0,top
U19,183.9394,-126.5715,0.0,bottom
U2,100.34,-80.19,270.0,bottom
U20,137.5,-125.5047,0.0,bottom
U21,225.4,-126.1,0.0,bottom
U3,100.0,-100.0,0.0,top
U4,127.39,-118.81,270.0,bottom
U5,127.34,-80.19,270.0,bottom
U6,127.0,-100.0,0.0,top
U7,162.4233,-118.81,270.0,bottom
U8,161.34,-80.19,270.0,bottom
U9,162.0,-100.0,0.0,top
